Undefined,#genre#
Auténtica_Televisión_(720p)_[Not_24/7],https://live.obslivestream.com/autenticatvmux/index.m3u8
BHTV_(1080p),https://sc1.wasidata.com/Bhtv/index.fmp4.m3u8
Canal_8_Catacaos_(720p)_[Not_24/7],https://live.obslivestream.com/canal8/index.m3u8
Conecta2TV_(720p)_[Not_24/7],https://live.obslivestream.com/conecta2/index.m3u8
CR_Televisión_Moyobamba_(720p)_[Not_24/7],https://live.obslivestream.com/crtvmux/index.m3u8
Controversia_TV_(720p)_[Not_24/7],https://live.obslivestream.com/controversiatv/index.m3u8
ECO_Television,https://stream.ecoperu.tv/ECOTV/tracks-v1a1/mono.m3u8
ATV_(720p)_[Not_24/7],https://d2qsan2ut81n2k.cloudfront.net/live/25046411-8673-4dec-8ae8-5b41984f34e1/ts:abr.m3u8
Cadena_TV_(720p)_[Not_24/7],https://tv.bitstreaming.net:3789/live/cdntvlive.m3u8
Exitosa_TV_(720p)_[Not_24/7],https://luna-4-video.mediaserver.digital/exitosatv_233b-4b49-a726-5a451262/index.m3u8
Antena_SUR,https://cloudpro.servidoresdestream.com:8081/8010/index.m3u8
AsiriTV_(720p)_[Not_24/7],https://video2.lhdserver.es/asiritv/live.m3u8
La_Fabulosa_Radio_y_TV,https://eu1.servers10.com:8081/8004/index.m3u8
La_Tele,https://live-evg1.tv360.bitel.com.pe/bitel/latele/playlist.m3u8
Intuitiva_TV_(720p),https://video2.lhdserver.es/cableperu/live.m3u8
Canal_21_Huancayo_(720p),https://play.agenciastreaming.com:8081/tvwanka/tracks-v1/index.fmp4.m3u8
Mega_TV_Jaen_(720p)_[Not_24/7],https://7.innovatestream.pe:19360/megatvjaen/megatvjaen.m3u8
Impacto_Televisión_(360p)_[Not_24/7],https://cloudvideo.servers10.com:8081/impactotv/index.m3u8
JN19_(1080p)_[Not_24/7],https://servilive.com:3028/live/jntv19live.m3u8
Nativa_(720p)_[Not_24/7],https://oneplay.iptvperu.tv:1936/static/nativa1.stream/chunks.m3u8
Miel_TV_(720p)_[Not_24/7],https://7.innovatestream.pe:19360/mieltv/mieltv.m3u8
Milenial_TV,https://www.milenial.news/salida/milenial.m3u8
Monterrico_TV_(1080p)_[Not_24/7],https://www.opencaster.com/resources/hls_stream/hipodromojcp2.m3u8
Latina_(720p),https://redirector.rudo.video/hls-video/567ffde3fa319fadf3419efda25619456231dfea/latina/latina.smil/playlist.m3u8
Nativa_TV_Satipo_(720p)_[Not_24/7],https://7.innovatestream.pe:19360/nativatv/nativatv.m3u8
Ovacion_TV_(720p)_[Not_24/7],http://cdn2.ujjina.com:1935/iptvovacion1/liveovacion1tv/playlist.m3u8
Radio_Master_(720p),https://videoserver.tmcreativos.com:19360/radiomaster/radiomaster.m3u8
Latina_Clasicos,https://redirector.rudo.video/hls-video/plus226/latina2/latina2.smil/playlist.m3u8
RadioTV_Oriente,https://live.obslivestream.com/tvoriente/index.m3u8
ONDA_DIGITAL_(720p),https://tv.ondadigital.pe/ondadigital/index.m3u8
Televisión_Tarapoto_(720p)_[Not_24/7],https://ott1.hdlatam.tv/live_abr/webtvTarapotoPe/playlist.m3u8
Radio_Tropical_Tarapoto_(480p)_[Not_24/7],https://videoserver.tmcreativos.com:19360/raditropical/raditropical.m3u8
Bethel_TV,https://alfa.betheltv.tv/srt/3_abr/playlist.m3u8
Vía_Altomayo_(720p)_[Not_24/7],https://live.obslivestream.com/viaaltomayomux/index.m3u8
Turbo_Mix_Radio_TV_(360p)_[Not_24/7],https://7.innovatestream.pe:19360/turbomixoficial/turbomixoficial.m3u8
MO_Channel,https://cloudvideo.servers10.com:8081/8070/index.m3u8
Visión_Sur_TV_(1080p)_[Not_24/7],https://ott1.hdlatam.tv/live_abr/webtvVisionSur/playlist.m3u8
Viva_TV_Yurimaguas_(720p),https://live.obslivestream.com/vivatv/index.m3u8
Vía_Televisión_(720P)_[Not_24/7],https://videoserver.tmcreativos.com:19360/cablerasvia/cablerasvia.m3u8
VNP,https://videoserver.tmcreativos.com:19360/visionnoticias/visionnoticias.m3u8
Trivu_(1080p)_[Not_24/7],https://www.chasquirouter.com/salida/sd/trivu.m3u8
Top_FM_TV_(240p)_[Not_24/7],https://tvdatta.com:3084/live/toptvaguaytialive.m3u8
